eq_id,eq_nome,eq_enderec,eq_bairro,eq_tipo,longitude,latitude,eq_distr,eq_regiao,eq_ender,eq_esfera,alunos_ef,alunos_em,alunos_total
3535,RUY BARBOSA CONSELHEIRO,R PROFESSOR ANTONIO CASTELAR DE FRANCESCHI 200,HORTO FLORESTAL,EE,-46.630136,-23.456402,TREMEMBE,Norte,#REF!,ESTADUAL - SE,402,474,993
3544,AMELIA RODRIGUES DE OLIVEIRA PROFA EMEF,R DOS BOROS 56,VILA GUACURI,EMEF,-46.630575,-23.697899,PEDREIRA,Sul,#REF!,MUNICIPAL,1010,0,1061
3560,ERICO DE ABREU SODRE,RUA PROFESSORA LUDOVINA CREDIDIO PEIXOTO 98,CHACARA INGLESA,EE,-46.631579,-23.60575,SAUDE,Sul,#REF!,ESTADUAL - SE,383,0,383
3562,MIGUEL ROQUE PROFESSOR,R DOMICIANO LEITE RIBEIRO 455,VILA GUARANI (Z SUL),EE,-46.631727,-23.642392,JABAQUARA,Sul,#REF!,ESTADUAL - SE,676,0,676
3565,JOAO ERNESTO FAGGIN DOUTOR,AV FULFARO 141,VILA CLARA,EE,-46.631769,-23.674165,CIDADE ADEMAR,Sul,#REF!,ESTADUAL - SE,467,402,929
3568,YOLANDA BERNARDINI ROBERT PROFESSORA,R FRANCISCO DE ALVARENGA SN,JARDIM MIRIAM,EE,-46.631932,-23.679191,CIDADE ADEMAR,Sul,#REF!,ESTADUAL - SE,914,0,934
3583,BENTO PEREIRA DA ROCHA PROFESSOR,R GEORGE BENDA 80,JARDIM RUBILENE,EE,-46.632878,-23.702708,PEDREIRA,Sul,#REF!,ESTADUAL - SE,371,665,1130
3585,VISCONDE DE INHAUMA ALMIRANTE,AV DO GUACA 1382,LAUZANE PAULISTA,EE,-46.632973,-23.475686,MANDAQUI,Norte,#REF!,ESTADUAL - SE,629,0,639
3596,LASAR SEGALL,RUA DOUTOR THIRSO MARTINS 211,,EE,-46.633756,-23.594871,VILA MARIANA,Sul,#REF!,ESTADUAL - SE,278,0,278
3599,NELSON FERNANDES DEPUTADO,R OURICANA 57,VILA GUARANI (Z SUL),EE,-46.634027,-23.642862,JABAQUARA,Sul,#REF!,ESTADUAL - SE,754,0,754
