ID,LONG,LAT,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,NOME,REGISTRO,ENDERECO,NUMERO,BAIRRO,REFERENCIA
310,-46.472581,-23.610872,355030873000114,3550308005208,75,SAO MATEUS,30,SAO MATEUS,Leste,Leste 2,JARDIM SANTA ADELIA,6052-6,RUA URSA MENOR,35.000000,JD STA ADELIA,ESTRADA DO IGUATEMI
664,-46.741245,-23.482761,355030863000196,3550308005113,64,PIRITUBA,2,PIRITUBA / JARAGUA,Norte,Norte 1,MUTINGA,6053-4,RUA MARIA LUCIA DUARTE,409.000000,VL MUTINGA,TV AV MUTINGA
755,-46.658551,-23.483105,355030821000105,3550308005062,21,CASA VERDE,4,CASA VERDE / CACHOEIRINHA,Norte,Norte 1,MANDIBA,6054-2,RUA LASAR SEGAL,198.000000,FREGUESIA DO O,TV AV IMIRIM
253,-46.673881,-23.492486,355030850000117,3550308005060,50,LIMAO,4,CASA VERDE / CACHOEIRINHA,Norte,Norte 1,DEPUTADO EMILIO CARLOS,6055-0,AV MONTE CELESTE,357.000000,LIMAO,TV AV GASPAR DIAS DA CUNHA
33,-46.427185,-23.537944,355030847000108,3550308005261,46,JOSE BONIFACIO,27,ITAQUERA,Leste,Leste 2,JARDIM SANTA HELENA,6056-9,RUA SANTA EDITH,S/N,JD STA HELENA,GUAIANAZES
851,-46.653484,-23.642613,355030838000082,3550308005308,37,JABAQUARA,15,JABAQUARA,Sul,Sul 1,CIDADE LEONOR,6057-7,RUA TEJUPA,S/N,JABAQUARA,TV RUA VITORIANA
226,-46.751097,-23.570635,355030867000020,3550308005183,68,RIO PEQUENO,10,BUTANTA,Oeste,Oeste,RIO PEQUENO,6058-5,AV PUJAIS SABATE,468.000000,RIO PEQUENO,TV AV RIO PEQUENO
109,-46.586452,-23.625908,355030868000052,3550308005087,69,SACOMA,13,IPIRANGA,Sul,Sul 1,JARDIM PATENTE,6059-3,AV PATENTE,770.000000,JD PATENTE,TV ES DAS LAGRIMAS ALTURA 3500
603,-46.554741,-23.593254,355030872000107,3550308005081,74,SAO LUCAS,29,VILA PRUDENTE / SAPOPEMBA,Leste,Leste 1,JARDIM INDEPENDENCIA,6060-7,RUA SECUNDINO DOMINGUES,29.000000,VL PRUDENTE,TV AV ALBERTO RAMOS
14,-46.595015,-23.645953,355030868000172,3550308005090,69,SACOMA,13,IPIRANGA,Sul,Sul 1,VILA OLIVIERI,6061-5,RUA CLAUDIO FERREIRA MANOEL,S/N,VL OLIVIERI,RUA CARLA LIVIERO
616,-46.509772,-23.566103,355030804000071,3550308005151,04,ARICANDUVA,26,ARICANDUVA I FORMOSA I CARRAO,Leste,Leste 1,JARDIM ARICANDUVA,6062-3,AV ODILON PIRES,1016.000000,JD ARICANDUVA,AV CONSELHEIRO CARRAO
811,-46.688147,-23.615387,355030835000118,3550308005050,34,ITAIM BIBI,11,PINHEIROS,Oeste,Oeste,BROOKLIN PAULISTA,6063-1,RUA GODOI COLACO,306.000000,BROOKLIN PAULISTA,AV MORUMBI E R ALVARO RODRIGUE
264,-46.716218,-23.538060,355030802000064,3550308005106,02,ALTO DE PINHEIROS,11,PINHEIROS,Oeste,Oeste,DARDANELOS,6064-0,RUA DARDANELOS,18.000000,LAPA,AV.DIOGENES RIBEIRO DE LIMA
426,-46.741941,-23.453627,355030842000235,3550308005185,41,JARAGUA,2,PIRITUBA / JARAGUA,Norte,Norte 1,JARAGUA,6065-8,RUA LAVRINHA,79.000000,VL JARAGUA,PROXIMO A ESTACAO DO JARAGUA
